                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                  1.409,                0.61778,                 1.1263,                0.84772,                0.80875,                0.82538,                0.32506,                 2.1475,                0.78718,                 1.6856,             9.8632e-05,             9.8632e-05,             9.8632e-05
                     77,                 1.3899,                0.62975,                 1.1185,                0.85056,                0.81874,                0.83439,                 0.3312,                 2.1282,                0.79901,                 1.6665,             9.8596e-05,             9.8596e-05,             9.8596e-05
                     78,                 1.4013,                0.61902,                 1.1235,                0.83209,                0.82892,                  0.832,                0.33317,                 2.1187,                0.77165,                 1.6876,             9.8559e-05,             9.8559e-05,             9.8559e-05
                     79,                 1.3898,                0.60894,                 1.1237,                0.84707,                0.80849,                0.82016,                0.32309,                 2.1829,                0.79663,                 1.7214,             9.8521e-05,             9.8521e-05,             9.8521e-05
                     80,                 1.3665,                0.60983,                 1.1053,                0.85715,                0.80448,                0.83213,                0.32765,                 2.1814,                0.78309,                 1.7098,             9.8483e-05,             9.8483e-05,             9.8483e-05
                     81,                 1.3752,                0.61722,                 1.1058,                0.84839,                0.80919,                0.81703,                 0.3238,                 2.1779,                0.78409,                 1.7509,             9.8445e-05,             9.8445e-05,             9.8445e-05
                     82,                 1.3616,                0.60395,                 1.1072,                0.84694,                0.78888,                0.81813,                0.32906,                 2.1637,                0.78167,                 1.7106,             9.8406e-05,             9.8406e-05,             9.8406e-05
                     83,                 1.3533,                0.60654,                  1.106,                0.82342,                0.80724,                0.81835,                0.32297,                 2.1951,                0.80889,                 1.6976,             9.8367e-05,             9.8367e-05,             9.8367e-05
                     84,                  1.339,                0.59919,                 1.0945,                0.84369,                 0.8025,                0.82112,                0.31883,                 2.1849,                0.77685,                 1.7144,             9.8327e-05,             9.8327e-05,             9.8327e-05
                     85,                 1.3362,                0.59943,                 1.0918,                0.84236,                0.78955,                0.81471,                0.32413,                 2.1566,                0.81146,                 1.6713,             9.8286e-05,             9.8286e-05,             9.8286e-05
                     86,                 1.3351,                0.59534,                 1.0918,                0.84984,                0.78819,                0.81883,                0.32795,                 2.1557,                0.79076,                 1.6919,             9.8246e-05,             9.8246e-05,             9.8246e-05
                     87,                 1.3112,                0.58306,                 1.0805,                 0.8346,                0.81399,                0.82393,                0.32899,                 2.1658,                0.79706,                 1.7361,             9.8204e-05,             9.8204e-05,             9.8204e-05
                     88,                 1.2991,                0.58911,                 1.0754,                0.83714,                0.79973,                0.82347,                0.32767,                 2.1691,                0.79383,                 1.7176,             9.8163e-05,             9.8163e-05,             9.8163e-05
                     89,                 1.3445,                0.60811,                 1.0892,                0.84124,                0.80991,                0.81831,                0.31048,                 2.1892,                0.78932,                 1.7693,              9.812e-05,              9.812e-05,              9.812e-05
                     90,                 1.3213,                0.59058,                  1.091,                 0.8513,                0.79905,                0.82013,                0.31956,                 2.1824,                0.79462,                 1.7219,             9.8078e-05,             9.8078e-05,             9.8078e-05
                     91,                 1.3102,                0.58467,                 1.0873,                0.82601,                0.81331,                0.82035,                0.33076,                 2.1872,                 0.7994,                 1.7573,             9.8035e-05,             9.8035e-05,             9.8035e-05
                     92,                 1.3194,                0.58507,                 1.0888,                0.85437,                0.78955,                0.82566,                0.32412,                 2.1805,                0.81425,                 1.7213,             9.7991e-05,             9.7991e-05,             9.7991e-05
